Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C3, C33, C9",C_0603,6,0.1uF_0603_16V,C14663
"C10, C11, C13, C15, C27, C28, C29, C30, C5",C_0603,9,10uF_0603_10V,C19702
"C16, C19, C2, C20, C21, C26, C32",C_0603,7,1uF_0603_25V,C15849
"C17, C18, C36, C37, C39",C_1206,5,22uF_1206_25V,C12891
"C22, C23",C_0603,2,47nF_0603_35V,C1622
"C24, C25",C_0603,2,18pF_0603_50V,C1647
C300,C_0402,1,1uF_0402_25V,C52923
"C303, C38, C6",C_0805,3,10uF_0805_25V,C15850
"C31, C34, C35, C4",C_0603,4,100nF_0603_16V,C14663
C40,C_0603,1,2.2uF_0603_25V,C57895
"C7, C8",C_0603,2,47pF_0603_50V,C1671
"J1, J2, J8",Pins_1x02_2.54mm_TH,3,Conn_01x02,
J12,Pins_1x04_2.54mm_TH_SWD,1,Conn_01x04,
J3,Pins_2x04_P2.54mm_Vertical_SMD,1,Pins_02x04_P2.54mm_SMT,
J4,USB_C_Receptacle_Molex_2171790001,1,USB-C_Receptacle_Molex_2171790001,C2894899
"J5, J7",RCA_Stereo_SwitchCraft-PJRAS2X1S,2,Jack_RCA_Stereo,
J6,Pins_1x03_2.54mm_TH,1,Conn_01x03,
L11,L_Taiyo-Yuden_NR-40xx,1,4.7uH_1.2A_40xx,C92936
L3,0805,1,10uH_0805_0.5A,C88182
POT1,Slider_Dual_Motorized_PSM60-081A-xxx,1,Slider_Dual_Motorized_PSM60-081A-xxx,
R1,R_0603,1,15k_0603,C114661
"R10, R11",R_0603,2,1k_0603,C22548
"R12, R9",R_0603,2,4.7k_0603,C99782
"R13, R16",R_0603,2,100Ω_0603,C105588
"R14, R15, R26",R_0603,3,100k_0603,C14675
"R2, R3, R6, R7, R8",R_0603,5,27Ω_0603,C137753
R25,R_0603,1,31.6k_0603,C185339
R27,R_0603,1,10.2k_0603,C183219
R4,R_0603,1,71.5k_0603,C185312
R5,R_0603,1,10k_0603,C98220
"TP1, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_WireHole,12,TestPoint,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,C529355
U112,SOT-23-6,1,TLV61046ADB,C464815
U2,Vishay_MINICAST-3Pin,1,TSOP38238,
"U3, U4",SOT-23-5,2,TLV74018,
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,1,TLV320AIC3204,C24109
U6,SOT-23-6,1,USBLC6-2SC6,C2827654
U7,SOT-563,1,DRV8210DRLR,C3681297
U8,SOT-563-5,1,TAR5S33U,C3745113
V11,TSOT-23-6,1,AP62200WU-7,C1323282
V12,SOT23-3_PO132,1,NCP51460SN33,C233715 
X10,FA-238,1,16MHz_18pF_FA238,C90906
